date,team1,score1,team2,score2,total_score
Sep. 7,Cortland,76,Hilbert,0,76
Sep. 7,Carthage,0,St. John's,49,49
Sep. 7,Hardin-Simmons,38,Howard Payne,6,44
Sep. 7,Mount Union,55,Ferrum,6,61
Sep. 6,Bridgewater,7,Susquehanna,41,48
Sep. 7,Lakeland,0,UW-Platteville,65,65
Sep. 7,Washington and Lee,26,Salisbury,48,74
Sep. 7,Rose-Hulman,14,DePauw,57,71
Sep. 7,Endicott,44,St. Lawrence,13,57
Sep. 7,Wartburg,38,Monmouth,24,62
Sep. 7,Geneva,0,Grove City,41,41
Sep. 7,Carnegie Mellon,58,Thiel,0,58
Sep. 7,Denison,7,Linfield,31,38
Sep. 6,Aurora,33,Dubuque,21,54
Sep. 7,Loras,0,Hope,49,49
Sep. 7,St. Vincent,6,Washington and Jefferson,59,65
Sep. 5,UW-La Crosse,35,RPI,0,35
Sep. 7,Johns Hopkins,27,Ithaca,23,50
Sep. 7,Wheaton (Ill.),14,UW-Oshkosh,21,35
Sep. 7,Whitworth,40,Gustavus Adolphus,7,47
Sep. 6,Western New England,32,Springfield,38,70
Sep. 7,John Carroll,7,UW-Whitewater,34,41
Sep. 7,Cornell,10,Coe,55,65
Sep. 5,Buffalo State,0,Brockport,27,27
Sep. 5,Rowan,35,Stevenson,16,51
Sep. 5,Hiram,14,Heidelberg,38,52
Sep. 5,Carroll,28,UW-Stout,16,44
Sep. 5,Belhaven,21,Millsaps,23,44
Sep. 6,Randolph-Macon,47,Dickinson,21,68
Sep. 6,Gallaudet,6,Albright,17,23
Sep. 6,Curry,10,Salve Regina,28,38
Sep. 6,Union,26,Utica,41,67
Sep. 6,Catholic,3,McDaniel,7,10
Sep. 6,Alfred,7,Hobart,10,17
Sep. 6,Massachusetts Maritime,14,SUNY-Maritime,22,36
Sep. 6,William Paterson,9,FDU-Florham,37,46
Sep. 6,WPI,14,Worcester State,9,23
Sep. 6,Lebanon Valley,10,Franklin and Marshall,30,40
Sep. 6,Anna Maria,41,Westfield State,13,54
Sep. 6,Alvernia,14,Ursinus,45,59
Sep. 6,LaGrange,12,East Texas Baptist,57,69
Sep. 6,Augsburg,24,BX,14,38
Sep. 7,Keystone,14,Misericordia,24,38
Sep. 7,Anderson,0,Alfred State,13,13
Sep. 7,UW-River Falls,41,Alma,35,76
Sep. 7,Castleton,14,Norwich,12,26
Sep. 7,Gettysburg,61,Juniata,41,102
Sep. 7,Wittenberg,14,Baldwin Wallace,24,38
Sep. 7,Rochester,28,Olivet,21,49
Sep. 7,Fitchburg State,12,Dean,0,12
Sep. 7,Widener,12,Lycoming,48,60
Sep. 7,Guilford,14,Greensboro,0,14
Sep. 7,TCNJ,34,Eastern,12,46
Sep. 7,University of New England,24,Coast Guard,30,54
Sep. 7,Austin,20,Kalamazoo,26,46
Sep. 7,Western Connecticut,27,Merchant Marine,44,71
Sep. 7,Case Western Reserve,41,Waynesburg,7,48
Sep. 7,UW-Stevens Point,23,Albion,31,54
Sep. 7,Bluffton,6,Kenyon,13,19
Sep. 7,Allegheny,20,Bethany,14,34
Sep. 7,Christopher Newport,42,Trine,6,48
Sep. 7,Elmhurst,20,Adrian,55,75
Sep. 7,Oberlin,6,Calvin,50,56
Sep. 7,Delaware Valley,41,Hampden-Sydney,21,62
Sep. 7,Kean,0,Morrisville State,7,7
Sep. 7,Sewanee,9,Maryville (Tenn.),23,32
Sep. 7,Shenandoah,33,Methodist,14,47
Sep. 7,St. Norbert,0,Wabash,31,31
Sep. 7,Southern Virginia,9,BX,44,53
Sep. 7,Framingham State,14,Husson,56,70
Sep. 7,Marietta,55,St. John Fisher,0,55
Sep. 7,Hartwick,62,Unknown,6,68
Sep. 7,Lawrence,7,Martin Luther,35,42
Sep. 7,Chicago,0,Claremont-Mudd-Scripps,24,24
Sep. 7,Muhlenberg,33,Moravian,7,40
Sep. 7,Franklin,7,Ohio Northern,45,52
Sep. 7,Centre,27,Hanover,12,39
Sep. 7,Muskingum,42,Mount St. Joseph,35,77
Sep. 7,Wilmington,13,Wooster,56,69
Sep. 7,UW-Eau Claire,21,Concordia-Moorhead,10,31
Sep. 7,Rockford,43,Beloit,17,60
Sep. 7,Benedictine,34,Buena Vista,7,41
Sep. 7,Illinois Wesleyan,14,Central,49,63
Sep. 7,Eureka,6,Knox,7,13
Sep. 7,Wisconsin Lutheran,7,Lake Forest,21,28
Sep. 7,Mary Hardin-Baylor,10,BX,20,30
Sep. 7,Illinois College,46,Millikin,21,67
Sep. 7,Concordia-Chicago,23,Greenville,54,77
Sep. 7,Manchester,3,Westminster (Mo.),23,26
Sep. 7,Lyon,48,Grinnell,28,76
Sep. 7,La Verne,24,Willamette,27,51
Sep. 7,Nichols,24,Mass-Dartmouth,64,88
Sep. 7,Puget Sound,21,Lewis and Clark,59,80
Sep. 7,MIT,37,Bridgewater State,17,54
Sep. 7,N.C. Wesleyan,29,Averett,41,70
Sep. 7,Otterbein,7,Ohio Wesleyan,26,33
Sep. 7,Wilkes,43,King's,28,71
Sep. 7,Simpson,13,Augustana,30,43
Sep. 7,Hamline,35,Crown,14,49
Sep. 7,Ripon,41,North Park,42,83
Sep. 7,Berry,43,Huntingdon,7,50
Sep. 7,Macalester,16,Minnesota-Morris,17,33
Sep. 7,Texas Lutheran,35,Trinity (Texas),20,55
Sep. 7,St. Olaf,39,Northwestern (Minn.),21,60
Sep. 7,Hendrix,43,Centenary (La.),20,63
Sep. 7,McMurry,20,Southwestern,24,44
Sep. 7,Nebraska Wesleyan,41,BX,25,66
Sep. 7,Washington U.,44,Rhodes,20,64
Sep. 7,Carleton,12,Pomona-Pitzer,28,40
Sep. 7,Pacific,23,Chapman,43,66
Sep. 7,Pacific Lutheran,43,BX,0,43
Sep. 8,George Fox,17,Redlands,3,20
,Unknown,0,Unknown,0,0
